B02,B03,B04,B08,class
1448,2517,1350,22256,forest
1802,3349,1743,26024,forest
1337,2195,1160,20473,forest
1697,2857,1468,16869,forest
1494,2320,1226,16082,forest
1625,2831,1461,21758,forest
1901,3198,1678,24851,forest
1579,2549,1298,23121,forest
1468,2418,1173,23992,forest
1776,3159,1822,23521,forest
1612,2556,1357,20290,forest
1704,3683,2025,21253,forest
1534,2556,1324,21967,forest
1789,2556,1435,22832,forest
1573,2503,1245,21443,forest
2097,4050,2346,21954,forest
1501,2962,1566,19910,forest
1540,2313,1258,20316,forest
2077,4050,2045,24058,forest
1396,2490,1311,21699,forest
2176,4273,2359,24405,forest
1966,3690,2045,23960,forest
1494,2097,1049,14916,forest
1769,3047,1861,20368,forest
2870,3316,3985,5898,forest
1848,3473,2071,21128,forest
1619,3310,1442,27813,forest
1330,2077,1075,18284,forest
1481,2556,1271,22420,forest
1376,2464,1278,21364,forest
1343,3060,1311,18356,forest
1278,2294,1186,17308,forest
1665,3067,1756,21620,forest
1855,3539,1737,21436,forest
1835,3185,1737,21810,forest
1389,2281,1206,19726,forest
1252,2077,1088,17996,forest
1507,2294,1206,22020,forest
1409,2589,1284,20093,forest
1691,2641,1717,18940,forest
1979,3775,2163,24169,forest
2759,3002,3539,6128,forest
1370,2294,1199,19044,forest
3480,4017,5230,8388,forest
1147,1901,1035,16600,forest
1579,2202,1114,14758,forest
1226,1481,937,17583,forest
1167,1789,898,12530,forest
1481,2412,1232,20231,forest
2143,4168,2038,27086,forest
1586,3172,1573,26155,forest
1357,2385,1245,21050,forest
